2018/01/17 15:12:45 [error] 14437#14437: *23410 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:13:05 [error] 14437#14437: *23412 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:13:26 [error] 14437#14437: *23414 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:13:45 [error] 14437#14437: *23416 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:14:06 [error] 14437#14437: *23418 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:14:26 [error] 14437#14437: *23420 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:14:46 [error] 14437#14437: *23422 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:15:06 [error] 14437#14437: *23424 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:15:26 [error] 14437#14437: *23426 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:15:46 [error] 14437#14437: *23428 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:16:06 [error] 14437#14437: *23430 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:16:26 [error] 14437#14437: *23432 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:16:46 [error] 14437#14437: *23434 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:17:06 [error] 14437#14437: *23436 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:17:26 [error] 14437#14437: *23438 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:17:46 [error] 14437#14437: *23440 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:18:06 [error] 14437#14437: *23442 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:18:26 [error] 14437#14437: *23444 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:18:30 [error] 14437#14437: *23446 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:18:46 [error] 14437#14437: *23448 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:19:06 [error] 14437#14437: *23450 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:19:26 [error] 14437#14437: *23452 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:19:46 [error] 14437#14437: *23454 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:20:06 [error] 14437#14437: *23456 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:20:26 [error] 14437#14437: *23458 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:20:46 [error] 14437#14437: *23460 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:21:06 [error] 14437#14437: *23462 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:21:26 [error] 14437#14437: *23464 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:21:46 [error] 14437#14437: *23466 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:22:06 [error] 14437#14437: *23468 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:22:26 [error] 14437#14437: *23470 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:22:46 [error] 14437#14437: *23472 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:23:06 [error] 14437#14437: *23474 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:23:27 [error] 14437#14437: *23476 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:23:46 [error] 14437#14437: *23478 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:24:06 [error] 14437#14437: *23480 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:24:26 [error] 14437#14437: *23482 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:24:46 [error] 14437#14437: *23484 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:25:06 [error] 14437#14437: *23486 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:25:26 [error] 14437#14437: *23488 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:25:46 [error] 14437#14437: *23490 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:26:06 [error] 14437#14437: *23492 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:26:27 [error] 14437#14437: *23494 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:26:46 [error] 14437#14437: *23496 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:27:07 [error] 14437#14437: *23498 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:27:26 [error] 14437#14437: *23500 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:27:47 [error] 14437#14437: *23502 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:28:07 [error] 14437#14437: *23504 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:28:26 [error] 14437#14437: *23506 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:28:30 [error] 14437#14437: *23508 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:28:47 [error] 14437#14437: *23510 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:29:07 [error] 14437#14437: *23512 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:29:27 [error] 14437#14437: *23514 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:29:47 [error] 14437#14437: *23516 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:30:07 [error] 14437#14437: *23518 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:30:27 [error] 14437#14437: *23520 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:30:47 [error] 14437#14437: *23522 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:31:07 [error] 14437#14437: *23524 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:31:27 [error] 14437#14437: *23526 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:31:47 [error] 14437#14437: *23528 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:32:07 [error] 14437#14437: *23530 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:32:27 [error] 14437#14437: *23532 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:32:47 [error] 14437#14437: *23534 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:33:07 [error] 14437#14437: *23536 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:33:27 [error] 14437#14437: *23538 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:33:47 [error] 14437#14437: *23540 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:34:07 [error] 14437#14437: *23542 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:34:27 [error] 14437#14437: *23544 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:34:47 [error] 14437#14437: *23546 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:35:07 [error] 14437#14437: *23548 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:35:27 [error] 14437#14437: *23550 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:35:47 [error] 14437#14437: *23552 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:36:07 [error] 14437#14437: *23554 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
